date," Price Index for Consumer: Energy(electricity, heat, fuel) "
2015-03-01,100.49
2015-03-08,100.47114285714285
2015-03-15,100.45228571428571
2015-03-22,100.43342857142856
2015-03-29,100.41457142857142
2015-04-05,100.39571428571428
2015-04-12,100.37685714285713
2015-04-19,100.35799999999999
2015-04-26,100.33914285714285
2015-05-03,100.32028571428572
2015-05-10,100.30142857142857
2015-05-17,100.28257142857143
2015-05-24,100.26371428571429
2015-05-31,100.24485714285714
2015-06-07,100.226
2015-06-14,100.20714285714286
2015-06-21,100.18828571428571
2015-06-28,100.16942857142857
2015-07-05,100.15057142857142
2015-07-12,100.13171428571428
2015-07-19,100.11285714285714
2015-07-26,100.094
2015-08-02,100.07514285714285
2015-08-09,100.0562857142857
2015-08-16,100.03742857142856
2015-08-23,100.01857142857142
2015-08-30,99.99971428571428
2015-09-06,99.98085714285715
2015-09-13,99.962
2015-09-20,99.94314285714286
2015-09-27,99.92428571428572
2015-10-04,99.90542857142857
2015-10-11,99.88657142857143
2015-10-18,99.86771428571429
2015-10-25,99.84885714285714
2015-11-01,99.83
2015-11-08,99.71538461538461
2015-11-15,99.60076923076923
2015-11-22,99.48615384615384
2015-11-29,99.37153846153846
2015-12-06,99.25692307692307
2015-12-13,99.1423076923077
2015-12-20,99.0276923076923
2015-12-27,98.91307692307691
2016-01-03,98.79846153846154
2016-01-10,98.68384615384615
2016-01-17,98.56923076923077
2016-01-24,98.45461538461538
2016-01-31,98.34
2016-02-07,98.22538461538461
2016-02-14,98.11076923076922
2016-02-21,97.99615384615385
2016-02-28,97.88153846153845
2016-03-06,97.76692307692308
2016-03-13,97.65230769230769
2016-03-20,97.5376923076923
2016-03-27,97.42307692307692
2016-04-03,97.30846153846153
2016-04-10,97.19384615384615
2016-04-17,97.07923076923076
2016-04-24,96.96461538461539
2016-05-01,96.85
2016-05-08,96.92542857142857
2016-05-15,97.00085714285714
2016-05-22,97.0762857142857
2016-05-29,97.15171428571428
2016-06-05,97.22714285714285
2016-06-12,97.30257142857143
2016-06-19,97.378
2016-06-26,97.45342857142856
2016-07-03,97.52885714285713
2016-07-10,97.60428571428571
2016-07-17,97.67971428571428
2016-07-24,97.75514285714286
2016-07-31,97.83057142857142
2016-08-07,97.90599999999999
2016-08-14,97.98142857142857
2016-08-21,98.05685714285714
2016-08-28,98.13228571428571
2016-09-04,98.20771428571427
2016-09-11,98.28314285714285
2016-09-18,98.35857142857142
2016-09-25,98.434
2016-10-02,98.50942857142857
2016-10-09,98.58485714285713
2016-10-16,98.6602857142857
2016-10-23,98.73571428571428
2016-10-30,98.81114285714285
2016-11-06,98.88657142857143
2016-11-13,98.96199999999999
2016-11-20,99.03742857142856
2016-11-27,99.11285714285714
2016-12-04,99.18828571428571
2016-12-11,99.26371428571429
2016-12-18,99.33914285714285
2016-12-25,99.41457142857142
2017-01-01,99.49
2017-01-08,99.50820512820512
2017-01-15,99.52641025641026
2017-01-22,99.54461538461538
2017-01-29,99.56282051282051
2017-02-05,99.58102564102563
2017-02-12,99.59923076923077
2017-02-19,99.6174358974359
2017-02-26,99.63564102564102
2017-03-05,99.65384615384615
2017-03-12,99.67205128205129
2017-03-19,99.69025641025641
2017-03-26,99.70846153846153
2017-04-02,99.72666666666666
2017-04-09,99.7448717948718
2017-04-16,99.76307692307692
2017-04-23,99.78128205128205
2017-04-30,99.79948717948717
2017-05-07,99.81769230769231
2017-05-14,99.83589743589744
2017-05-21,99.85410256410256
2017-05-28,99.87230769230769
2017-06-04,99.89051282051282
2017-06-11,99.90871794871795
2017-06-18,99.92692307692307
2017-06-25,99.9451282051282
2017-07-02,99.96333333333334
2017-07-09,99.98153846153846
2017-07-16,99.99974358974359
2017-07-23,100.01794871794871
2017-07-30,100.03615384615385
2017-08-06,100.05435897435898
2017-08-13,100.0725641025641
2017-08-20,100.09076923076923
2017-08-27,100.10897435897436
2017-09-03,100.12717948717949
2017-09-10,100.14538461538461
2017-09-17,100.16358974358974
2017-09-24,100.18179487179488
2017-10-01,100.2
2017-10-08,100.22192307692308
2017-10-15,100.24384615384615
2017-10-22,100.26576923076924
2017-10-29,100.28769230769231
2017-11-05,100.30961538461538
2017-11-12,100.33153846153846
2017-11-19,100.35346153846154
2017-11-26,100.37538461538462
2017-12-03,100.39730769230769
2017-12-10,100.41923076923077
2017-12-17,100.44115384615385
2017-12-24,100.46307692307693
2017-12-31,100.485
2018-01-07,100.50692307692307
2018-01-14,100.52884615384615
2018-01-21,100.55076923076923
2018-01-28,100.57269230769231
2018-02-04,100.59461538461538
2018-02-11,100.61653846153845
2018-02-18,100.63846153846154
2018-02-25,100.66038461538461
2018-03-04,100.68230769230769
2018-03-11,100.70423076923076
2018-03-18,100.72615384615385
2018-03-25,100.74807692307692
2018-04-01,100.77
2018-04-08,100.94461538461537
2018-04-15,101.11923076923077
2018-04-22,101.29384615384615
2018-04-29,101.46846153846154
2018-05-06,101.64307692307692
2018-05-13,101.81769230769231
2018-05-20,101.99230769230769
2018-05-27,102.16692307692308
2018-06-03,102.34153846153846
2018-06-10,102.51615384615386
2018-06-17,102.69076923076923
2018-06-24,102.86538461538463
2018-07-01,103.04
2018-07-08,103.07032786885246
2018-07-15,103.10065573770493
2018-07-22,103.13098360655738
2018-07-29,103.16131147540985
2018-08-05,103.1916393442623
2018-08-12,103.22196721311477
2018-08-19,103.25229508196722
2018-08-26,103.28262295081967
2018-09-02,103.31295081967214
2018-09-09,103.34327868852459
2018-09-16,103.37360655737706
2018-09-23,103.40393442622951
2018-09-30,103.43426229508198
2018-10-07,103.46459016393443
2018-10-14,103.49491803278688
2018-10-21,103.52524590163935
2018-10-28,103.5555737704918
2018-11-04,103.58590163934427
2018-11-11,103.61622950819672
2018-11-18,103.64655737704919
2018-11-25,103.67688524590164
2018-12-02,103.7072131147541
2018-12-09,103.73754098360656
2018-12-16,103.76786885245902
2018-12-23,103.79819672131148
2018-12-30,103.82852459016394
2019-01-06,103.8588524590164
2019-01-13,103.88918032786886
2019-01-20,103.91950819672131
2019-01-27,103.94983606557378
2019-02-03,103.98016393442623
2019-02-10,104.0104918032787
2019-02-17,104.04081967213115
2019-02-24,104.07114754098362
2019-03-03,104.10147540983607
2019-03-10,104.13180327868852
2019-03-17,104.16213114754099
2019-03-24,104.19245901639344
2019-03-31,104.22278688524591
2019-04-07,104.25311475409836
2019-04-14,104.28344262295082
2019-04-21,104.31377049180328
2019-04-28,104.34409836065574
2019-05-05,104.3744262295082
2019-05-12,104.40475409836066
2019-05-19,104.43508196721312
2019-05-26,104.46540983606558
2019-06-02,104.49573770491803
2019-06-09,104.5260655737705
2019-06-16,104.55639344262295
2019-06-23,104.58672131147542
2019-06-30,104.61704918032787
2019-07-07,104.64737704918034
2019-07-14,104.67770491803279
2019-07-21,104.70803278688524
2019-07-28,104.73836065573771
2019-08-04,104.76868852459016
2019-08-11,104.79901639344263
2019-08-18,104.82934426229508
2019-08-25,104.85967213114755
2019-09-01,104.89
2019-09-08,104.90615384615384
2019-09-15,104.9223076923077
2019-09-22,104.93846153846154
2019-09-29,104.95461538461538
2019-10-06,104.97076923076924
2019-10-13,104.98692307692308
2019-10-20,105.00307692307692
2019-10-27,105.01923076923076
2019-11-03,105.03538461538461
2019-11-10,105.05153846153846
2019-11-17,105.0676923076923
2019-11-24,105.08384615384615
2019-12-01,105.1
2019-12-08,105.07384615384615
2019-12-15,105.0476923076923
2019-12-22,105.02153846153846
2019-12-29,104.99538461538461
2020-01-05,104.96923076923076
2020-01-12,104.94307692307692
2020-01-19,104.91692307692308
2020-01-26,104.89076923076924
2020-02-02,104.86461538461539
2020-02-09,104.83846153846154
2020-02-16,104.8123076923077
2020-02-23,104.78615384615385
2020-03-01,104.76
2020-03-08,104.73685714285715
2020-03-15,104.71371428571429
2020-03-22,104.69057142857143
2020-03-29,104.66742857142857
2020-04-05,104.64428571428572
2020-04-12,104.62114285714286
2020-04-19,104.598
2020-04-26,104.57485714285714
2020-05-03,104.5517142857143
2020-05-10,104.52857142857144
2020-05-17,104.50542857142858
2020-05-24,104.48228571428572
2020-05-31,104.45914285714287
2020-06-07,104.436
2020-06-14,104.41285714285715
2020-06-21,104.38971428571429
2020-06-28,104.36657142857143
2020-07-05,104.34342857142857
2020-07-12,104.32028571428572
2020-07-19,104.29714285714286
2020-07-26,104.274
2020-08-02,104.25085714285714
2020-08-09,104.22771428571428
2020-08-16,104.20457142857143
2020-08-23,104.18142857142857
2020-08-30,104.15828571428571
2020-09-06,104.13514285714287
2020-09-13,104.11200000000001
2020-09-20,104.08885714285715
2020-09-27,104.0657142857143
2020-10-04,104.04257142857143
2020-10-11,104.01942857142858
2020-10-18,103.99628571428572
2020-10-25,103.97314285714286
2020-11-01,103.95
2020-11-08,104.16846153846154
2020-11-15,104.38692307692308
2020-11-22,104.60538461538462
2020-11-29,104.82384615384616
2020-12-06,105.04230769230769
2020-12-13,105.26076923076923
2020-12-20,105.47923076923077
2020-12-27,105.69769230769231
2021-01-03,105.91615384615385
2021-01-10,106.13461538461539
2021-01-17,106.35307692307693
2021-01-24,106.57153846153847
2021-01-31,106.79
2021-02-07,107.00846153846155
2021-02-14,107.22692307692307
2021-02-21,107.44538461538461
2021-02-28,107.66384615384615
2021-03-07,107.88230769230769
2021-03-14,108.10076923076923
2021-03-21,108.31923076923077
2021-03-28,108.53769230769231
2021-04-04,108.75615384615385
2021-04-11,108.97461538461539
2021-04-18,109.19307692307692
2021-04-25,109.41153846153846
2021-05-02,109.63
2021-05-09,109.84846153846154
2021-05-16,110.06692307692308
2021-05-23,110.28538461538461
2021-05-30,110.50384615384615
2021-06-06,110.7223076923077
2021-06-13,110.94076923076923
2021-06-20,111.15923076923077
2021-06-27,111.37769230769231
2021-07-04,111.59615384615384
2021-07-11,111.81461538461538
2021-07-18,112.03307692307692
2021-07-25,112.25153846153846
2021-08-01,112.47
2021-08-08,113.38076923076923
2021-08-15,114.29153846153847
2021-08-22,115.2023076923077
2021-08-29,116.11307692307692
2021-09-05,117.02384615384615
2021-09-12,117.93461538461538
2021-09-19,118.84538461538462
2021-09-26,119.75615384615385
2021-10-03,120.66692307692308
2021-10-10,121.5776923076923
2021-10-17,122.48846153846154
2021-10-24,123.39923076923077
2021-10-31,124.31
2021-11-07,125.22076923076924
2021-11-14,126.13153846153847
2021-11-21,127.0423076923077
2021-11-28,127.95307692307692
2021-12-05,128.86384615384617
2021-12-12,129.7746153846154
2021-12-19,130.68538461538463
2021-12-26,131.59615384615384
2022-01-02,132.50692307692307
2022-01-09,133.4176923076923
2022-01-16,134.32846153846154
2022-01-23,135.23923076923077
2022-01-30,136.15
2022-02-06,137.06076923076924
2022-02-13,137.97153846153847
2022-02-20,138.8823076923077
2022-02-27,139.79307692307694
2022-03-06,140.70384615384617
2022-03-13,141.61461538461538
2022-03-20,142.5253846153846
2022-03-27,143.43615384615384
2022-04-03,144.34692307692308
2022-04-10,145.2576923076923
2022-04-17,146.16846153846154
2022-04-24,147.07923076923078
2022-05-01,147.99
2022-05-08,148.69628571428572
2022-05-15,149.40257142857143
2022-05-22,150.10885714285715
2022-05-29,150.81514285714286
2022-06-05,151.52142857142857
2022-06-12,152.22771428571428
2022-06-19,152.934
2022-06-26,153.6402857142857
2022-07-03,154.34657142857145
2022-07-10,155.05285714285716
2022-07-17,155.75914285714288
2022-07-24,156.4654285714286
2022-07-31,157.1717142857143
2022-08-07,157.87800000000001
2022-08-14,158.58428571428573
2022-08-21,159.29057142857144
2022-08-28,159.99685714285715
2022-09-04,160.70314285714286
2022-09-11,161.40942857142858
2022-09-18,162.1157142857143
2022-09-25,162.822
2022-10-02,163.52828571428572
2022-10-09,164.23457142857143
2022-10-16,164.94085714285714
2022-10-23,165.64714285714285
2022-10-30,166.3534285714286
2022-11-06,167.0597142857143
2022-11-13,167.76600000000002
2022-11-20,168.47228571428573
2022-11-27,169.17857142857144
2022-12-04,169.88485714285716
2022-12-11,170.59114285714287
2022-12-18,171.29742857142858
2022-12-25,172.0037142857143
2023-01-01,172.71
2023-01-08,172.33641025641026
2023-01-15,171.9628205128205
2023-01-22,171.58923076923077
2023-01-29,171.21564102564102
2023-02-05,170.8420512820513
2023-02-12,170.46846153846155
2023-02-19,170.0948717948718
2023-02-26,169.72128205128206
2023-03-05,169.3476923076923
2023-03-12,168.97410256410257
2023-03-19,168.60051282051282
2023-03-26,168.22692307692307
2023-04-02,167.85333333333332
2023-04-09,167.47974358974358
2023-04-16,167.10615384615386
2023-04-23,166.7325641025641
2023-04-30,166.35897435897436
2023-05-07,165.98538461538462
2023-05-14,165.61179487179487
2023-05-21,165.23820512820512
2023-05-28,164.86461538461538
2023-06-04,164.49102564102563
2023-06-11,164.11743589743588
2023-06-18,163.74384615384616
2023-06-25,163.37025641025642
2023-07-02,162.99666666666667
2023-07-09,162.62307692307692
2023-07-16,162.24948717948718
2023-07-23,161.87589743589743
2023-07-30,161.50230769230768
2023-08-06,161.12871794871793
2023-08-13,160.7551282051282
2023-08-20,160.38153846153844
2023-08-27,160.0079487179487
2023-09-03,159.63435897435897
2023-09-10,159.26076923076923
2023-09-17,158.88717948717948
2023-09-24,158.51358974358973
2023-10-01,158.14
2023-10-08,158.211875
2023-10-15,158.28375
2023-10-22,158.35562499999997
2023-10-29,158.42749999999998
2023-11-05,158.499375
2023-11-12,158.57125
2023-11-19,158.643125
2023-11-26,158.71499999999997
2023-12-03,158.78687499999998
2023-12-10,158.85875
2023-12-17,158.930625
2023-12-24,159.0025
2023-12-31,159.074375
2024-01-07,159.14624999999998
2024-01-14,159.218125
2024-01-21,159.29
2024-01-28,159.361875
2024-02-04,159.43375
2024-02-11,159.50562499999998
2024-02-18,159.5775
2024-02-25,159.649375
2024-03-03,159.72125
2024-03-10,159.793125
2024-03-17,159.865
2024-03-24,159.936875
2024-03-31,160.00875
2024-04-07,160.080625
2024-04-14,160.1525
2024-04-21,160.224375
2024-04-28,160.29625
2024-05-05,160.368125
2024-05-12,160.44
2024-05-19,160.511875
2024-05-26,160.58375
2024-06-02,160.655625
2024-06-09,160.7275
2024-06-16,160.799375
2024-06-23,160.87125
2024-06-30,160.943125
2024-07-07,161.015
2024-07-14,161.086875
2024-07-21,161.15875
2024-07-28,161.230625
2024-08-04,161.3025
2024-08-11,161.37437500000001
2024-08-18,161.44625
2024-08-25,161.518125
2024-09-01,161.59
2024-09-08,161.79615384615386
2024-09-15,162.0023076923077
2024-09-22,162.20846153846153
2024-09-29,162.4146153846154
2024-10-06,162.62076923076924
2024-10-13,162.8269230769231
2024-10-20,163.03307692307692
2024-10-27,163.23923076923077
2024-11-03,163.44538461538463
2024-11-10,163.65153846153848
2024-11-17,163.8576923076923
2024-11-24,164.06384615384616
2024-12-01,164.27
2024-12-08,164.27
2024-12-15,164.27
2024-12-22,164.27
2024-12-29,164.27
2025-01-05,164.27
2025-01-12,164.27
2025-01-19,164.27
2025-01-26,164.27
2025-02-02,164.27
2025-02-09,164.27
2025-02-16,164.27
2025-02-23,164.27
2025-03-02,164.27
