date,euro-20
2020-01,99.5
2020-02,98.7
2020-03,87.4
2020-04,71.3
2020-05,81.1
2020-06,88.7
2020-07,92.9
2020-08,93.6
2020-09,94
2020-10,96.7
2020-11,99.5
2020-12,98.6
2021-01,100.4
2021-02,98.9
2021-03,100.2
2021-04,101.1
2021-05,99.6
2021-06,99.8
2021-07,101.2
2021-08,98.9
2021-09,98.9
2021-10,99.1
2021-11,100
2021-12,101.8
2022-01,101.4
2022-02,101.8
2022-03,100.2
2022-04,100.5
2022-05,102.4
2022-06,102.1
2022-07,100.4
2022-08,102.3
2022-09,103.5
2022-10,102.3
2022-11,102.8
2022-12,100.4
2023-01,102.4
2023-02,103.6
2023-03,100.8
2023-04,100.9
2023-05,101.2
2023-06,101.6
2023-07,98.9
2023-08,98.5
2023-09,98.2
2023-10,97.6
2023-11,98.7
2023-12,98.1
2024-01,97.2
2024-02,97.8
2024-03,97.7
2024-04,97.8
2024-05,96.6
2024-06,97.3
2024-07,96.7
2024-08,97.8
2024-09,96.4
2024-10,96.6
2024-11,96.7
2024-12,96.3
2025-01,97.1
2025-02,98.1